函数名称 说明
DrawFocusRect 用给定的焦点样式画一矩形
DrawFrameControl 以指定类型和风格画一个框架控件
DrawIcon 在给定设备描述表的窗口中画一个图标
DrawIconEx 在给定设备描述表窗口的用户区画一个图标或光标，执行指定的光栅操作、并伸展或压缩图标或光标
DrawMenuBar 重新画一个给定窗口的菜单栏
DrawState 显示一个图形并运行形象效果，以表明一种状态
DrawText 在指定的矩形中画格式化文本
DrawTextEx 在指定的矩形中画格式文本
EmpytClipboard 清空剪贴板并释放剪贴板中数据句柄
EnableMenuItem 允许、禁止或变灰一个菜单
EnableScrollBar 允许或禁止流动的一个或两个箭头
EnableWindow 设置窗口的允许状态或控制接收鼠标或键盘输入
EndDeferWindowPos 修改一个或多个窗口的位置和大小
EndDialog 销毁指定模式的对话框，并使系统终止对此对话框的任何处理
EndPaint 结束在指定窗口中的绘画
EnumChildWindows 枚举一个父窗口中的所有子窗口
EnumClipboardFromats 枚举当前剪贴板中可用的数据格式
EnumDesktops 枚举指定调用进程窗口站里的全部桌面
EnumDesktopWindows 枚举一个桌面里的所有窗口
EnumDisplaySettings 获取有关显示设备某一图形模式的信息。通过反复调用该函数也可获取显示设备的所有模式的信息
EnumProps 枚举指定窗口的特征列表中的所有项
EnumPropsEx 枚举指定窗口特征列表中的所有项
EnumThreadWindows 枚举所有与指定线程有关的窗口
EnumWindows 枚举屏幕上所有顶层窗口
EnumWindowStations 枚举系统里所有的窗口站
EqualRect 确定两个矩形是否相等
ExcludeUpdateRgn 从剪贴板域内除去指定窗口内被更新的区域
ExitWindowsEx 重新启动或终止WINDOWS系统
FillRect 用指定画刷填充一个矩形
FindWindow 从类名或窗口名中返回一个相匹配的顶层窗口的句柄
FindWindowEx 检取和指定类名或窗口名相匹配的窗口的句柄
FlashWindow 使给定的窗口闪烁一次
FrameRect 用指定刷子围绕指定矩形画一个边框
FreeDDELParam 释放有一条被传递过来的DDE消息所指定的内存
GetActiveWindow 检取与调用此函数的线程有关的活动窗口句柄
GetAsyncKeyState 确定指定的键是处于UP还是DOWN状态
GetCapture 检取已捕获鼠标的窗口句柄
GetCaretBlinkTime 返回闪烁插入符象素所需的时间
GetCartePos 返回当前插入符的位置
GetClassInfo 检取指定窗口类的信息
GetClassInfoEx 检取指定窗口类的信息，包括和窗口类有关的最小图标的句柄
GetClassLong 检取指定窗口类的地址偏移量(32位)
GetClassName 检取指定窗口类的名称
GetClassWord 检取指定窗口类的地址偏移量(16位)
GetClientRect 返回用户区域的坐标
GetClipboardData 用指定格式从剪贴板中检取数据
GetClipboardFromatName 返回已注册的剪贴板格式名称
GetClipboardOwner 返回剪贴板当前拥有者的窗口句柄
GetClipboardViewer 返回剪贴板查看程序链中第一个窗口的句柄
GetClipCursor 返回限制光标的矩形区域的屏幕坐标
GetCursor 返回当前光标句柄
GetCursorPos 返回当前的光标位置
GetDC 返回指定窗口显示设备描述表的句柄
GetDCEx 返回指定窗口显示设备描述表的句柄
GetDesktopWindow 返回桌面窗口的句柄
GetDialogBaseUnits 返回创建对话框所用的基本单元
GetDlgCtrlID 返回指定控件的标识符
GetDlgItem 检取对话框中指定控件的句柄
GetDlgItemInt 将对话框中某控件的文本转换成整数值
GetDlgItamText 检取对话框中与某控件相关的标题或文本
GetDoubleClickTime 返回鼠标当前的双击时间
GetFocus 返回当前键盘焦点窗口的句柄
GetForegroundWindow 返回用户当前工作用的窗口句柄
GetIconInfo 检取给定图标或光标的信息
GetInputstate 确定当前线程的消息队列中是否有鼠标或键盘的消息
GetKBCodePage 提供早期WINDOWS版本的兼容性
GetKeyboardLayout 为一个指定线程检取活动键盘布局
GetKeyboardLayoutList 检取系统中当前输入地点集的所有活动键盘布局的句柄
GetKeyboardLayoutName 检取活动键盘布局的名称
GetKeyboardState 返回所有虚键的当前状态
GetKeyboardType 检取当前键盘的类型
GetKeyNameText 检取表示某键名称的字符串
GetKeyState 返回指定虚键是UP还是DOWN状态
GetLastActivePopup 确定哪个弹出窗口是最近活动的
GetMenu 返回指定窗口的菜单句柄
GetMenuCheck 返回缺省记号位图的尺寸
GetMenuContextHelpId 返回和指定菜单相关的帮助描述表的标识符
GetMenudefaultItem 确定指定菜单的缺省菜单项
GetMenuItemCount 返回给定菜单栏或弹出式菜单中的菜单项数
GetMenuItemID 返回指定菜单项的标识符
GetMenuItemInfo 返回有关菜单项的信息
GetmenuItemRect 返回指定菜单项的边界矩形
GetMenustate 返回与指定菜单项有关的菜单标志
GetMenustring 将指定菜单项的文本串拷贝到给定的缓冲区中
GetMessage 从指定线程的消息队列中检取一条消息
GetMessageExtraInfo 检取与一条消息有关的硬件消息
GetMessagePos 返回最后一条消息发生时光标所在的位置
GetMessageTime 返回从系统自动到最后一条消息创建所经历的时间
GetNextDlgGroupItem 返回对话框中位于给定控件之间或之后的控件句柄
GetNextDlgTabItem 返回具有WS_TABSTOP风格的位于给定控件之间或之后的控件的句柄
GetNextQueueWindow 按Z序返回位于给定窗口上一个或下一个窗口
GetOpenClipboardWindow 返回当前打开剪贴板的窗口句柄
GetParent 返回给定子窗口的父窗口
GetPriorityClipboardFormat 返回指定表中第一可用的剪贴板格式
GetProcessWindowStation 返回与调用进程有关的窗口站的句柄
GetProp 从给定的窗口属性表中返回一数据句柄
GetQueuestatus 确定调用线程消息的类型
GetScrollInfo 返回滚动条的参数，包括最小/最大滚动位置，页大小及拇指框的位置
GetScrollPos 返回当前滚动条的拇指框的位置
GetScrollRanges 返回给定滚动条当前最小和最大滚动框的位置
GetSubMenu 返回由指定菜单项激活的弹出式菜单句柄
GetsysColor 返回指定显示单元的当前颜色
GetsysColorBrush 检取相应于指定颜色索引的逻辑刷的句柄标识符
GetSystemMenu 允许应用程序访问SYSTEM菜单进行拷贝和修改
GetSystemMetrics 检取系统度量各种显示单元的宽度和高度
GetTabbedTextExtent 确定包含制表符的字符串的宽度和高度
GetThreadDesktop 返回与指定线程有关的桌面句柄
GetTopWindow 返回指定窗口顶层子窗口的句柄
GetUpdateRect 返回指定窗口包围更新区域矩形的宽和高
GetUpdateRgn 返回指定窗口包围更新区域
GetUserObjectInfomation 返回有关窗口站或桌面对象的信息
GetWindow 返回指定窗口的句柄
GetWindowContextHelpId 返回指定窗口的帮助描述表标识符
GetWindowDC 返回指定窗口是的设备描述表
GetWindowLong 返回指定窗口的附加窗口内存的地址(32位)
GetWindowPlacement 返回指定窗口的显示状态，以及被恢复、被最大化和最小化的位置
GetWindowRect 检取指定窗口限制矩形的尺寸
GetWindowRgn 获得指定窗口矩形区域的一个拷贝
GetWindowText 把指定窗口的标题栏文本拷贝到指定缓冲区中
GetWindowTextLength 返回指定窗口的标题栏文本的长度
GetWindowThreadProcessId 检取创建指定窗口的线程的标识符
GetWindowWord 返回指定窗口的附加窗口内存的地址(16位)
GrayString 在指定位置绘制灰色文本
HideCaret 从屏幕上删除插入符
HiliteMenuItem 改变顶层菜单的增亮菜单项
ImpersonateDdeCliebtWindow 使指定的DDE服务器应用程序能够模拟一个DDE客户应用程序的安全性描述表，以便安全的保护服务器数据不被未授权的DDE客户使用
InflateRect 改变指定矩形的宽度和长度
InSendMessage 确定指定窗口过程是否正在处理
SendMessage函数送来的消息
InsertMenu 在指定的窗口中插入新的菜单栏
InsertMenuItem 在指定的菜单栏或弹出式窗口中插入新才菜单项
InterserRect 计算两个矩形的交集，得到新的目标矩形
InvalidateRect 将给定矩形添加到指定窗口的更新区域
InvalidateRgn 将给定区域添加到指定窗口的更新区域
InvertRect 转换窗口内指定的矩形区域
IsCharAlpha 确定指定字符是否为字母
IsCharAlphaNumeric 确定指定字符是字母还是数字
IsCharLower 确定指定字符是否为小写
IsCharUpper 确定指定字符是否为大写
IsChild 确定指定窗口是否为给定父窗口的子窗口
IsClipBoardFormatAvaliable 确定剪贴板是否包含有给定格式的有用数据
IsDialogMessage 确定一条消息是为给定对话框所期望的
IsDlgButtonChecked 确定按扭控制的状态
IsIconic 确定指定窗口是否极小化
IsMenu 确定一个句柄是否为菜单句柄
IsRectEmpty 确定一个矩形是否为空
IsWindow 确定指定窗口句柄是不是一个已有的窗口
IsWindowEnabled 确定指定窗口能否接受鼠标或键盘输入
IsWindowUnicode 确定给定窗口是不是一个本地的Unicode窗口
IsWindowVisible 确定窗口的可见性
IsZoomed 确定指定窗口是否为极大化
keybd_event 合成一个击键事件，以用于以后由系统生成一条WM_KEYUP或WM_KEYDOWN消息
KillTimer 撤消指定的计时器
LoadAccelerators 装入指定的加速键表
LoadBitmap 装入指定的位图资源
LoadCursor 装入指定的光标资源
LoadCursorFromFile 根据指定文件中数据创建一个光标
LoadIcon 装入指定的图标资源
LoadImage 装入一个图标、光标或位图
LoadKeyboardLayout 装入指定的键盘布局
LoadMenu 装入指定的菜单资源
LoadMenuIndirect 将指定的菜单模板装入内存
LoadString 装入指定的字符串资源
LockWindowUpdate 禁止或重新允许在指定的窗口上画图
LookupIconIdFromDirectory 查找最适合当前显示设备的图标或光标数据
LookupIconIdFromDirectoryEx 查找最适合当前显示设备的图标或光标数据
MapDialogRect 将指定对话框单元转换为屏幕象素
MapVirtualKey 将一个虚键码翻译成扫描码或字符值或反之
MapVirtualKeyEx 将一个虚键码翻译成扫描码或字符值或反之
MapWindowPoints 将指定窗口的一组点转换到另一窗口坐标空间中
MenuItemFromPoint 选择指定点所在的菜单项
MessageBeep 放出波形声音
MessageBox 创建、显示并操作一个消息框
MessageBoxEx 创建、显示并操作一个消息框，并可用参数指定预定义按扭采用的语言资源集合
MessageBoxIndirect 创建、显示并操作消息框
ModifyMenu 修改一个已存在的菜单项，包括内容，外观和特性
mouse_event 合成鼠标移动和按扭菜单事件
MoveWindow 改变指定窗口的位置和宽、高
MsgWaitForMultipleObjects 判断指定等待的条件是否满足，不满足则调用的线程进入有效等待状态
OemKeyScan 把OEM的ASCII码转换成OEM扫描码
OemToChar 把指定OEM字符串转换成ANSI字符串
OemToCharBuff 把OEM字符缓冲区中指定数目的字符转换成ANSI字符
OffsetRect 把指定矩形移动给定的偏移量
OpenClipboard 打开剪贴板以供检查，并阻止其它应用程序修改其内容
OpenDesktop 返回一个存在桌面的句柄
OpenIcon 激活一个最小化窗口图标
OpenInputDesktop 返回接收用户输入的桌面的句柄
OpenWindowStation 返回一个存在窗口站的句柄
PackDDElParam 将DDE的参数值lParam封装到用来存放过程之间共享的DDE数据的内部结构中
PaintDesktop 在指定的带桌面调色板和壁纸的设备描述表里填充裁剪区域
PeekMessage 检查应用程序的消息队列
PostMessage 在指定的窗口消息队列中放置一条消息
PostQuitMessage 通知WINDOWS有一个线程已发出终止请求
PostThreadMessage 在指定线程的消息队列中放置一条消息
PtInRect 确定指定的点是否在给定的矩形内
RedrawWindow 更新窗口客户区中给定的矩形或区域
RegisterClass 为以后调用CreatWindow函数注册一个窗口类
RegisterClassEx 为以后调用CreatWindow函数注册一个窗口类
RegisterClipboardFormat 注册一个新的剪贴板数据格式
RegisterHotKey 在当前线程定义一个热键
RegisterWindowMessage 定义一个新的窗口消息，该消息在整个系统范围内是唯一的
ReleaseCapture 释放当前线程窗口的鼠标捕获
ReleaseDC 释放指定的设备描述表
RemoveMenu 删除指定的菜单项或弹出式菜单
RemoveProp 从指定窗口特征表中删除一个入口
ReplyMessage 响应由SendMessage函数发送的消息，但不把控制权还给调用SendMessage函数的线程
ReuseDDElParam 允许一个应用程序重新使用一个被封装的DDE的lParam参数
ScreenToClient 把一个屏幕指定的坐标点转换成客户坐标
ScrollDC 水平或垂直滚动一个由位组成的矩形
ScrollWindow 滚动指定窗口中的客户区内容
ScrollWindowEx 滚动指定窗口中的客户区内容
SendDlgItemMessage 把指定的消息发送给指定的对话框控件
SendMessage 把一消息发送给指定的多个窗口
SendMessageCallback 向给定的一个或多个窗口发送指定的消息，并将结果传送给回调函数
SendMessageTimeout 向给定的一个或多个窗口发送指定的消息，且在窗口过程处理完这条消息或指定限时过后才返回
SendNotifyMessage 向给定窗口发送指定的消息，且不等待窗口过程对消息的处理
SetActiveWindow 激活与调用该函数的线程相关的顶层窗口
SetCapture 向当前线程窗口设置鼠标捕获标记
SetCaretBlinkTime 设置插入符闪烁的速率
SetCaretPos 设置插入符的位置
SetClassLong 设置附加类内存的地址(32位)
SetClassWord 设置附加类内存的地址(16位)
SetClipboardData 用指定格式在剪贴板中放置数据
SetClipboardViewer 把指定窗口添加到剪贴板查看程序链中
SetCursor 设置光标的形状
SetCursorPos 把光标移到指定的屏幕坐标处
SetDebugErrorLevel 设置最低的错误层次，在该层次上，系统将产生调试事件并传递给调试程序
SetDlgItemInt 把对话框中给定控件的文本串设置为给定整数的字符串
SetDlgItemText 设置对话框中指定控件的标题或项目文本
SetDoubleClickTime 设置鼠标的双击时间
SetFocus 为指定的窗口设置键盘输入焦点
SetForegroundWindow 把创建给定窗口的线程放到前台并激活该窗口
SetKeyboardState 设置调用线程的键盘输入状态表
SetLastErrorEx 为调用线程设置最后一次的错误码错误类型
SetMenu 把一个新菜单赋予指定的窗口
SetMenuContextHelpId 使一个菜单与帮助描述表标识符相关联，该菜单的所有项共享这个标识符
SetMenuDefaultItem 使指定的位图与一个菜单项相关联
SetMenuItemBitmaps 把指定的位图与一个菜单项联系起来
SetMenuItemInfo 改变指定菜单项的信息
SetMessageExtraInfo 为当前线程设置附加消息信息
SetMessageQueue 创建一个新的消息队列
SetParent 改变指定子窗口的父窗口
SetProcessWindowStation 分配一个窗口站给调用进程，以便该进程能够访问窗口站里的对象，如桌面、剪贴板和全局原子等
SetProp 在指定的特征表中添加或改变一个入口
SetRect 设置指定矩形的宽和高
SetRectEmpty 创建一个空矩形
SetScrollInfo 设置滚动条的参数，包括最大/最小位置，页尺寸和拇指框位置
SetScrollPos 设置滚动条中滚动框的位置
SetScrollRange 设置滚动条最大或最小位置值
SetSysColors 为一个或多个元素设置系统颜色
SetSystemCursor 定制系统光标
SetThreadAffinityMask 设置指定线程所需的处理器数
SetThreadDesktop 分配一个桌面给调用线程
SetTimer 用指定的限时值创建一个定时器
SetUserObjectInformation 设置有关窗口站或桌面对象的信息
SetUserObjectSecurity 设置用户对象的安全特性
SetWindowContextHelpId 使一个帮助描述表标识符和一个指定窗口相关
SetWindowLong 修改给定窗口的一个属性，并在附加窗口内存的指定偏移处设置新值(32位)
SetWindowPlacement 设置窗口的显示状态及复原、最大化和最小化位置
SetWindowPos 设置窗口大小，位置及在屏幕上的Z次序
SetWindowRgn 设置窗口的窗口区域
SetWindowsHook 把应用程序定义的钩子函数装入到钩子链中
SetWindowsHookEx 把应用程序定义的钩子函数装入到钩子链中
SetWindowText 设置给定窗口的标题栏或控件的文字
SetWindowWord 在附加窗口内存的指定偏移处设置新值(16位)
ShowCaret 显示插入符
ShowCursor 显示或隐藏鼠标光标
ShowOwnedPopups 显示或隐藏给定窗口所拥有的全部弹出式窗口
ShowScrollBar 显示或隐藏滚动条
ShowWindow 设置窗口的可见性状态
ShowWindowAsync 设置由不同线程创建的窗口显示状态
SubtractRect 获取一个矩形减去另一矩形所得到的矩形的坐标
SwapMouseButton 交换或恢复鼠标左、右按扭的含义
SwitchDesktop 使一桌面可见并激活它，以便该桌面接受用户输入
SystemParametersInfo 查询或设置系统范围参数
TabbedTextOut 在一个指定位置用当前选择的字体写一个字符
TileWindows 贴瓦式排列指定窗口或其子窗口
ToAscii 把指定的虚键码和键盘状态翻译成相应的WINDOWS字符
ToAsciiEx 把指定的虚键码和键盘状态翻译成相应的WINDOWS字符
ToUnicode 把指定的虚键码和键盘状态翻译成相应的Unicode字符
TrackPopupMenu 显示并跟踪弹出式菜单项的选择
TrackPopupMenuEx 在指定位置显示弹出式菜单，并跟踪弹出式菜单项的选择
TranslateAccelerator 处理菜单命令加速键
TranslateMDISysAccel 处理多文档加速键
TranslateMessage 把虚键消息翻译为字符消息
UnhookWindowsHook 从钩子链中删除一个钩子函数
UnhookWindowsHookEx 从钩子链中删除一个钩子函数
UnionRect 创建两个矩形的联合
UnloadKeyboardLayout 删除一个键盘布局
UnpackDDElParam 拆开从一条一公布的DDE消息中接收到的DDElParam值
UnregisterClass 删除一个窗口类，释放该类申请的内存
UnRegisterHotKey 释放调用线程原先登记的一个热键
UpdateWindow 修正指定窗口中的客户区
ValidateRect 从修改区删除一个矩形
ValidateRgn 从修改区删除一个区域
VkKeyScan 把当前键盘的一个字符翻译为虚键码和转换状态
VkKeyScanEx 把当前键盘的一个字符翻译为虚键码和转换状态
WaitForInputIdle 等待新的用户输入或一直到限时已过
WaitMessage 当线程的消息队列中没有其它消息时，挂起该线程并交出控制权，直到该线程有新的消息到来时才返回
WindowFromDC 返回与指定显示设备描述表相联系的窗口句柄
WindowFromPoint 返回包含有指定点的窗口句柄
WinHelp 启动WINDOWS帮助文件Winhelp.exe
wsprintf 在一个缓冲区中格式化并存储一串字符和值
wvsprintf 在一个缓冲区中格式化并存储一串字符和值
